date,product_id,category,price,competitor_price,promotion,seasonality,demand,revenue
2023-01-01,P1,Home,305.19027832627114,250.09625187879237,1,1.0051640068467504,66,20142.558369533894
2023-01-02,P1,Home,259.63135680399773,222.63851017684087,0,1.0103264834868237,58,15058.618694631868
2023-01-03,P1,Home,255.66462604189573,226.21165176497547,0,1.015485900166976,67,17129.529944807015
2023-01-04,P1,Home,265.0878305869445,239.07632887965505,0,1.020640728040696,57,15110.006343455836
2023-01-05,P1,Home,253.3453540232934,260.1356028893606,0,1.025789439621234,66,16720.793365537364
2023-01-06,P1,Home,273.71054245677607,252.00824790148454,0,1.0309305092342305,61,16696.34308986334
2023-01-07,P1,Home,251.66525237206952,216.8573686446154,0,1.0360624134698058,63,15854.91089944038
2023-01-08,P1,Home,291.61191603835726,242.89770545735814,1,1.0411836316339795,72,20996.057954761724
2023-01-09,P1,Home,271.48522276577324,228.76395796571575,0,1.0462926461992843,65,17646.53947977526
2023-01-10,P1,Home,301.81960287211115,235.73478772169798,1,1.0513879432544433,67,20221.91339243145
2023-01-11,P1,Home,261.67125288115045,239.95726727980383,0,1.0564680129529733,70,18316.987701680533
2023-01-12,P1,Home,263.2476466864574,233.6167791288463,0,1.0615313499605858,60,15794.858801187445
2023-01-13,P1,Home,259.7318234547478,237.45842978265327,0,1.0665764539012497,65,16882.56852455861
2023-01-14,P1,Home,252.87188013894965,249.16787601747143,0,1.071601829801785,64,16183.800328892778
2023-01-15,P1,Home,308.9809723797153,251.66020570542423,1,1.076605988534856,71,21937.649038959786
2023-01-16,P1,Home,299.3997814494057,222.19224522728797,1,1.0815874472602316,78,23353.18295305364
2023-01-17,P1,Home,290.04551542218127,255.8309438067853,1,1.0865447298641826,75,21753.413656663593
2023-01-18,P1,Home,266.4355616354608,233.59623952617142,0,1.0914763673968868,64,17051.87594466949
2023-01-19,P1,Home,246.26619843838265,237.5616238394442,0,1.0963808985077093,68,16746.10149381002
2023-01-20,P1,Home,261.2459582164084,229.35335714052147,0,1.101256869878234,67,17503.47920049936
2023-01-21,P1,Home,266.32513153781207,246.67730342472586,0,1.1061028366529115,63,16778.48328688216
2023-01-22,P1,Home,276.20199511582865,225.283984635807,1,1.110917362867202,84,23200.967589729607
2023-01-23,P1,Home,264.2138530537675,215.09570635004852,0,1.1156990218730822,77,20344.466685140094
2023-01-24,P1,Home,261.3325272767857,226.5576260879691,0,1.120446396761792,67,17509.279327544642
